tweet_id,text,text_cleaned
119264,"@105842 We're sorry your flight has been delayed, Beatner. Are you travelling on the BA8733? If so, the updated departure time we have is 15:30. 1/2",105842 sorri flight delay beatner travel ba8733 updat departur time 1530 12
119265,First flight for long time with @British_Airways. Now over one 1h delay for the short jump FRA-LCY and NO one here to provide status updates,first flight long time british_airway one 1h delay short jump fralci one provid statu updat
119267,"@105843 Battery life is important, and we're here for you. DM us the iOS version your iPhone is running. We'll go from there. https://t.co/GDrqU22YpT",105843 batteri life import dm u io version iphon run well go httpstcogdrqu22ypt
119268,Okay @76099 I used my fucking phone for 2 minutes and it drains it down 8 fucking percent,okay 76099 use fuck phone 2 minut drain 8 fuck percent
119269,@105844 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,105844 thank reach u alway happi help send u dm look togeth httpstcogdrqu22ypt
119270,"@AppleSupport Can you get my iPhone 7plus back on the old iOS please?  Battery runs out in half the time, apps now frequently crash.",applesupport get iphon 7plu back old io plea batteri run half time app frequent crash
119271,@105844 We'd be happy to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT,105844 wed happi help send u dm start httpstcogdrqu22ypt
119272,You’ve paralysed my phone with your update @76099 grrrrrrrrrr,youv paralys phone updat 76099 grrrrrrrrrr
119273,"@82476 🤔 We'd like to help Sam, which number is calling you? Please DM us more info so we can advise further. https://t.co/5pyLDJBC6r",82476 wed like help sam number call plea dm u info advis httpstco5pyldjbc6r
119274,"@O2 I received this a few weeks ago, since then I've been getting 2/3 calls a day from a telemarketer. Is someone using your name? https://t.co/GLtz4XHcex",o2 receiv week ago sinc ive get 23 call day telemarket someon use name httpstcogltz4xhcex
119275,"@105845 I understand this is a frustrating experience, please send a DM with your account information so I can look into this matter for you. -AD",105845 understand frustrat experi plea send dm account inform look matter ad
119276,"My internet is down and xfinity talkin about 24-72 hours... y’all have the game messed up. 

@77245",internet xfiniti talkin 2472 hour yall game mess 77245
119277,@105676 I understand how you frustrated this situation can be. Please follow us by sending a DM for further assistance. Sprint Cares. -AC,105676 understand frustrat situat plea follow u send dm assist sprint care ac
119278,@76803  I service last 40 min sprint can I get a refund https://t.co/wYPw9hP6wt,76803 servic last 40 min sprint get refund httpstcowypw9hp6wt
119279,@105846 We'd like to help. What happens when you try to listen to Apple Music &amp; use WhatsApp? Does the music pause? Let us know in DM. https://t.co/GDrqU22YpT,105846 wed like help happen tri listen appl music amp use whatsapp music paus let u know dm httpstcogdrqu22ypt
119280,So the new @76099 update does not let me listen to music and go on whatsapp at the same time?!?,new 76099 updat let listen music go whatsapp time
119281,@105847 Hi Harry! Help's here. Can you check if logging out &gt; restarting your device &gt; logging back in makes a difference? Keep us posted /MU,105847 hi harri help check log gt restart devic gt log back make differ keep u post mu
119282,@SpotifyCares seems to be working at this stage. Will let you know if it happens again. Cheers,spotifycar seem work stage let know happen cheer
119284,@105847 Sure thing. We'll keep an eye out for your update /MU,105847 sure thing well keep eye updat mu
119285,@SpotifyCares problem has come back again today. is there some kind of bug?,spotifycar problem come back today kind bug
119286,"@105847 Thanks for giving us a nudge about this. What device, operating system, and Spotify version is this happening on? /AY",105847 thank give u nudg devic oper system spotifi version happen ay
119287,"@SpotifyCares It's on a Macbook Air (early 2014), running High Sierra, spotify version 1.0.65.320.gac7a8e02",spotifycar macbook air earli 2014 run high sierra spotifi version 1065320gac7a8e02
119288,@105847 Got it. Can you try the steps here for us: https://t.co/EqisDMwZAT? They should help with this. Let us know how it plays out /AY,105847 got tri step u httpstcoeqisdmwzat help let u know play ay
119283,@SpotifyCares i've been having issues with playback. songs have been stopping midway through and won't restart unless i close and reopen app,spotifycar ive issu playback song stop midway wont restart unless close reopen app
119289,@105848 Let's take a look. What is the exact iOS you're using? Are you using any specific apps when noticing this? DM us your reply. https://t.co/GDrqU22YpT,105848 let take look exact io your use use specif app notic dm u repli httpstcogdrqu22ypt
119290,@AppleSupport Latest version 😡😡 I have read the help page turned off virtually all apps and location svs too - but in typing this I dropped 3% life,applesupport latest version read help page turn virtual app locat sv type drop 3 life
119291,@AppleSupport Super help - problem solved 😀 once again in love with Apple,applesupport super help problem solv love appl
119292,@AppleSupport #ios11update - is still killing my battery within 12 hours - phone is 10 months old - it’s a disgrace - used to get 2 days,applesupport ios11upd still kill batteri within 12 hour phone 10 month old disgrac use get 2 day
119293,@105849 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,105849 thank reach u alway happi help send u dm look togeth httpstcogdrqu22ypt
119294,"Took my phone off charge at 7:20am.

8:03am - 60% battery remaining.

@76099 plz I beg you, sort your battery life out😩",took phone charg 720am 803am 60 batteri remain 76099 plz beg sort batteri life
119295,"@105850 Once the points load and you hit the number, you get it immediately! You'll even receive a congrats email. Are you almost there? ^AC",105850 point load hit number get immedi youll even receiv congrat email almost ac
119296,@SouthwestAir I am! Thank you for the answer!!,southwestair thank answer
119297,@southwestair Just curious....will I get the companion pass the exact moment I get enough points? It will I have to wait? Thanks!,southwestair curiouswil get companion pas exact moment get enough point wait thank
119298,@105851 We'd like to provide some assistance with this. Tell us more about the issue you're experiencing in DM. We'll go from there. https://t.co/GDrqU22YpT,105851 wed like provid assist tell u issu your experienc dm well go httpstcogdrqu22ypt
119299,@AppleSupport I need a new code for my I-store. I haven’t recd any but msg is too many sent. Help!,applesupport need new code istor havent recd msg mani sent help
119300,"@105852 Are you experiencing an issue with your device? If so, DM us with what's going on. We'll see how we can help from there. https://t.co/GDrqU22YpT",105852 experienc issu devic dm u what go well see help httpstcogdrqu22ypt
119301,@76099 @AppleSupport fix this update. It’s horrible,76099 applesupport fix updat horribl
119266,"@105842 I appreciate it's after 15:30 now, so hopefully you will depart very soon. We're sorry for any inconvenience the delay has caused. 2/2 ^JR",105842 appreci 1530 hope depart soon sorri inconveni delay caus 22 jr
119302,"@British_Airways Thanks for your answer. Response onsite was that Aircraft will not depart today, so rebooking to @105853 with now 4h delay...",british_airway thank answer respons onsit aircraft depart today rebook 105853 4h delay
119303,@105842 Very sorry to hear this.  We hope you get everything sorted.   Kind Regards ^Jools,105842 sorri hear hope get everyth sort kind regard jool
119304,"@105854 I am sorry for the poor experience. Can you please DM the full service address and name on the account, as we ass... https://t.co/JEZhqGdBMd",105854 sorri poor experi plea dm full servic address name account as httpstcojezhqgdbmd
119305,@Ask_Spectrum It's just in my yard. I've called 4-5 times in 6 weeks. I'm not a customer but it's pretty tempting. I do have some coaxial,ask_spectrum yard ive call 45 time 6 week im custom pretti tempt coaxial
119306,@76501 I guess this means free cable for the neighborhood. https://t.co/FBgEE9YXPm,76501 guess mean free cabl neighborhood httpstcofbgee9yxpm
119308,"@105855 Hi Thomas, if a colleague believes the person buying alcohol looks under 25, they will be challenged for ID to prove they're of age. - Paige",105855 hi thoma colleagu believ person buy alcohol look 25 challeng id prove theyr age paig
119309,@Tesco Maybe hire colleagues who can see?,tesco mayb hire colleagu see
119310,@Tesco The point is if it's enforced they do it properly or they don't. Plus take some common-sense and think does that person look over 18?,tesco point enforc properli dont plu take commonsens think person look 18
119311,"@105855 Hi Thomas, this is correct but this helps our store colleagues judge age and protect them from making underage sales. Amanda",105855 hi thoma correct help store colleagu judg age protect make underag sale amanda
119313,@Tesco Uk offlicense law is 18. Not 25,tesco uk offlicens law 18 25
119314,"@105855 Hi Thomas, we operate a Think 25 policy at our stores. I'd be flattered to be ID'd. :-) - Helena",105855 hi thoma oper think 25 polici store id flatter idd helena
119315,Got id's @Tesco for buying one Adnams Broadside. Is being blind part of the job-spec? I am 35 and 99 kilos.,got id tesco buy one adnam broadsid blind part jobspec 35 99 kilo
119317,"@105856 Hi there, could you try deleting your cache and cookies and reinstalling the app if using it? This should fix the issue :) - Dani",105856 hi could tri delet cach cooki reinstal app use fix issu dani
119318,@Tesco Will I lose all the shopping I've done if I delete the cache/cookies (not using app)?,tesco lose shop ive done delet cachecooki use app
119320,"@105856 Hi there, as long as you sign out of your account prior to deleting your cache &amp; cookies, you'll still have a full basket :) Thanks - Mike",105856 hi long sign account prior delet cach amp cooki youll still full basket thank mike
119321,@Tesco Done all that. Still telling me there are no delivery slots whatsoever.,tesco done still tell deliveri slot whatsoev
119322,"@105856 Can you DM me your full name, address and email? I'd be happy to look into this further for you :) Thanks - Mike",105856 dm full name address email id happi look thank mike
119319,"Hey @Tesco, your website's broken. It's telling me there are no delivery slots for the next 3 weeks, which I find slightly unlikely.",hey tesco websit broken tell deliveri slot next 3 week find slightli unlik
119323,@105857 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM. https://t.co/GDrqU22YpT,105857 particular app seem caus issu other model iphon use join u dm httpstcogdrqu22ypt
119324,@AppleSupport I have the latest version iOS. It started immediately after I updated my phone.,applesupport latest version io start immedi updat phone
119325,@105857 We'd like to help if we can. When did this start happening? Which version of iOS are you running currently?,105857 wed like help start happen version io run current
119326,My apps stop working without warning and my phone freezes every five minutes! Love the new update @76099!!!!,app stop work without warn phone freez everi five minut love new updat 76099
119327,"@105858 Hi Agoura, thanks for tweeting. Please refer to this article: https://t.co/BSsgjZARTc &amp; click the link to reply back. ^Rashmi https://t.co/a2xkfCrUG1",105858 hi agoura thank tweet plea refer articl httpstcobssgjzartc amp click link repli back rashmi httpstcoa2xkfcrug1
119328,@HPSupport Problem with printhead  Serial# TH536D1HN #hpcswus #hpprnt,hpsupport problem printhead serial th536d1hn hpcswu hpprnt
119329,@105859 UPS has a service called My Choice that will allow your packages to be delivered to UPS Store. ^ML  https://t.co/BPZKndqww1 https://t.co/wKJHDXWGRQ,105859 up servic call choic allow packag deliv up store ml httpstcobpzkndqww1 httpstcowkjhdxwgrq
119330,@105860 I wish Amazon had an option of where I can just get it shipped to the ups store so I can avoid a lot of the struggle,105860 wish amazon option get ship up store avoid lot struggl
119331,They reschedule my shit for tomorrow https://t.co/RsvZcT982t,reschedul shit tomorrow httpstcorsvzct982t
119332,"@105861 Hey Sara, sorry to hear of the issues you are having, can I ask if it's the lay out or just the speed of the website responding? TY - Chris",105861 hey sara sorri hear issu ask lay speed websit respond ty chri
119333,@Tesco bit of both - finding the layout cumbersome and when removing an item from faves - getting a huge slowdown. Not keen on the thin green line https://t.co/9281OKEebk,tesco bit find layout cumbersom remov item fave get huge slowdown keen thin green line httpstco9281okeebk
119335,"@105861 If that doesn't help please DM your full name, address and email including the browser and device so we can log this. Thanks - Lee 2/2",105861 doesnt help plea dm full name address email includ browser devic log thank lee 22
